step,money
639,62517
640,62517
641,62517
642,62517
643,62517
644,62517
645,62517
646,62517
647,62469
648,62184
649,62184
650,62013
651,62013
652,62013
653,62013
654,62013
655,62013
656,62013
657,62013
658,61971
659,61971
660,61971
661,61971
662,61971
663,61971
664,61716
665,61674
666,61674
667,61674
668,61674
669,61674
670,61674
671,61674
672,61674
673,61674
674,61674
675,61674
676,61674
677,61674
678,61674
679,61674
680,61674
681,61674
682,61674
683,61674
684,61674
685,61674
686,61674
687,61674
688,61674
689,61674
690,63111
691,63111
692,63111
693,63111
694,63111
695,63111
696,63111
697,63111
698,63111
699,62940
700,62940
701,62940
702,62940
703,62940
704,62908
705,62908
706,62908
707,62908
708,62908
709,62908
710,62908
711,62908
712,62908
713,62908
714,62908
715,62908
716,62908
717,62908
718,62908
719,62908
720,62908
721,62908
722,62908
723,62908
724,62737
725,62737
726,62737
727,62737
728,62737
729,62737
730,62737
731,62737
732,62737
733,62737
734,62482
735,62440
736,62440
737,62440
738,62185
739,62143
740,62143
741,62143
742,62143
743,62143
744,62143
745,62143
746,62143
747,62143
748,62143
749,62143
750,62143
751,62143
752,62143
753,62143
754,62143
755,62143
756,62143
757,62143
758,62143
759,62143
760,62143
761,62143
762,62047
763,62047
764,62047
765,62047
766,62047
767,61826
768,61826
769,61826
770,61826
771,61826
772,61826
773,61826
774,61826
775,61826
776,61826
777,61826
778,61826
779,61826
780,61826
781,61826
782,61571
783,61529
784,61529
785,61529
786,61529
787,61529
788,61529
789,61529
790,61529
791,61529
792,61241
793,61241
794,61241
795,61241
796,61241
797,61241
798,61241
799,61241
800,61241
801,61241
802,61241
803,63661
804,63661
805,63661
806,63661
807,63661
808,63661
809,63661
810,63661
811,63661
812,63394
813,63394
814,63394
815,63394
816,63394
817,63344
818,63344
819,63344
820,63344
821,63344
822,63344
823,63344
824,63035
825,63035
826,62780
827,62738
828,62738
829,62738
830,62738
831,62738
832,62738
833,62738
834,62738
835,62738
836,62738
837,62738
838,62738
839,62738
840,62738
841,62738
842,62738
843,62738
844,62738
845,62738
846,62738
847,62738
848,62738
849,62738
850,62738
851,62738
852,64565
853,64565
854,64565
855,64565
856,65919
857,65919
858,65919
859,65919
860,65775
861,65775
862,65775
863,65775
864,65583
865,65583
866,65583
867,65583
868,65583
869,65583
870,65583
871,65583
872,65583
873,65583
874,65583
875,65583
876,65583
877,65583
878,65583
879,65583
880,65583
881,65583
882,65483
883,65483
884,65483
885,65483
886,65483
887,65483
888,65426
889,65426
890,65426
891,65426
892,65426
893,65426
894,65426
895,65426
896,65426
897,65426
898,65426
899,65426
900,65426
901,65426
902,65426
903,65138
904,65138
905,65138
906,65138
907,65138
908,65138
909,65090
910,64994
911,64994
912,64994
913,64868
914,64868
915,64868
916,64868
917,64868
918,64868
919,64868
920,64868
921,64868
922,64868
923,64868
924,64868
925,64868
926,64826
927,64826
928,64826
929,64826
930,64723
931,64723
932,64723
933,64723
934,64723
935,64723
936,64723
937,64723
938,64723
939,64723
940,64723
941,65163
942,65163
943,65163
944,65163
945,65163
946,65163
947,65163
948,65163
949,65163
950,65163
951,65163
952,67476
953,67476
954,67476
955,67476
956,67476
957,67476
958,67444
959,67444
960,67444
961,67444
962,67444
963,67444
964,67444
965,67444
966,67444
967,67444
968,67444
969,67444
970,67273
971,67273
972,67273
973,67273
974,67273
975,67273
976,67273
977,67273
978,67273
979,67273
980,67273
981,67273
982,67273
983,67273
984,67273
985,67273
986,67273
987,67273
988,67273
989,67273
990,67273
991,67273
992,67273
993,67273
994,67018
995,66976
996,66976
997,66976
998,66976
999,66976
