step,money
0,50000
50,37091
100,57260
150,60087
200,53057
250,62448
300,72796
350,72660
400,85877
450,81748
500,92976
550,101069
600,114614
650,107660
700,125170
750,127709
800,123643
850,128771
900,143296
950,143010
1000,144735
