step,money
0,50000
50,42218
100,45722
150,41300
200,59081
250,63715
300,69816
350,75919
400,85558
450,99433
500,95759
550,94584
600,111028
650,101337
700,128482
750,121719
800,137329
850,141854
900,142651
950,145952
1000,141101
