step,money
0,50000
50,38468
100,45888
150,52160
200,60393
250,71201
300,71553
350,73252
400,79880
450,72699
500,91768
550,89326
600,93875
650,88320
700,100177
750,102678
800,102283
850,110372
900,109485
950,110058
1000,104938
